,,,dt,,CTE,,angle,,,,,
step,162, dt,0.01365, cte,-0.3577, steer angle,1.0262, steer setpt,0.75442, steer cmd,0.00976, 
step,163, dt,0.01498, cte,-0.3577, steer angle,1.0262, steer setpt,0.04813, steer cmd,-0.00946, 
step,164, dt,0.01334, cte,-0.3605, steer angle,0.6803, steer setpt,0.05494, steer cmd,-0.01376, 
step,165, dt,0.01292, cte,-0.3632, steer angle,0.1998, steer setpt,0.10303, steer cmd,-0.01136, 
step,166, dt,0.01307, cte,-0.3632, steer angle,0.1998, steer setpt,0.08026, steer cmd,-0.01442, 
step,167, dt,0.01475, cte,-0.3658, steer angle,0.1523, steer setpt,0.09046, steer cmd,-0.01475, 
step,168, dt,0.0142, cte,-0.3684, steer angle,0.0759, steer setpt,0.13716, steer cmd,-0.01295, 
step,169, dt,0.01565, cte,-0.371, steer angle,0.0676, steer setpt,0.15078, steer cmd,-0.01185, 
step,170, dt,0.01254, cte,-0.371, steer angle,0.0676, steer setpt,0.13389, steer cmd,-0.0111, 
step,171, dt,0.01315, cte,-0.3734, steer angle,0.1401, steer setpt,0.17822, steer cmd,-0.01076, 
step,172, dt,0.01328, cte,-0.3759, steer angle,0.1588, steer setpt,0.19305, steer cmd,-0.01025, 
step,173, dt,0.01351, cte,-0.3759, steer angle,0.1588, steer setpt,0.17741, steer cmd,-0.01011, 
step,174, dt,0.01388, cte,-0.3782, steer angle,0.1801, steer setpt,0.18886, steer cmd,-0.01004, 
step,175, dt,0.01259, cte,-0.3805, steer angle,0.1836, steer setpt,0.23196, steer cmd,-0.00899, 
step,176, dt,0.01268, cte,-0.3805, steer angle,0.1836, steer setpt,0.21868, steer cmd,-0.00869, 
step,177, dt,0.01303, cte,-0.3827, steer angle,0.2117, steer setpt,0.23013, steer cmd,-0.00854, 
step,178, dt,0.01514, cte,-0.3848, steer angle,0.2191, steer setpt,0.27079, steer cmd,-0.00749, 
step,179, dt,0.0139, cte,-0.3848, steer angle,0.2191, steer setpt,0.25864, steer cmd,-0.0071, 
step,180, dt,0.01359, cte,-0.3868, steer angle,0.2492, steer setpt,0.27004, steer cmd,-0.00694, 
step,181, dt,0.01378, cte,-0.3887, steer angle,0.2588, steer setpt,0.30821, steer cmd,-0.00595, 
step,182, dt,0.0141, cte,-0.3887, steer angle,0.2588, steer setpt,0.29714, steer cmd,-0.00557, 
step,183, dt,0.01404, cte,-0.3905, steer angle,0.2875, steer setpt,0.30844, steer cmd,-0.00539, 
step,184, dt,0.01334, cte,-0.3922, steer angle,0.2972, steer setpt,0.34406, steer cmd,-0.00447, 
step,185, dt,0.01412, cte,-0.3922, steer angle,0.2972, steer setpt,0.33525, steer cmd,-0.00406, 
step,186, dt,0.01322, cte,-0.3938, steer angle,0.3247, steer setpt,0.34643, steer cmd,-0.00387, 
step,187, dt,0.01452, cte,-0.3953, steer angle,0.3348, steer setpt,0.37949, steer cmd,-0.003, 
step,188, dt,0.01309, cte,-0.3967, steer angle,0.3395, steer setpt,0.39, steer cmd,-0.00229, 
step,189, dt,0.01335, cte,-0.3967, steer angle,0.3395, steer setpt,0.38453, steer cmd,-0.00171, 
step,190, dt,0.01479, cte,-0.398, steer angle,0.3792, steer setpt,0.41503, steer cmd,-0.00127, 
step,191, dt,0.01464, cte,-0.3991, steer angle,0.3936, steer setpt,0.42411, steer cmd,-0.00086, 
step,192, dt,0.01261, cte,-0.3991, steer angle,0.3936, steer setpt,0.42083, steer cmd,-0.00049, 
step,193, dt,0.01317, cte,-0.4001, steer angle,0.4149, steer setpt,0.43041, steer cmd,-0.00036, 
step,194, dt,0.01332, cte,-0.401, steer angle,0.4241, steer setpt,0.45572, steer cmd,0.00025, 
