step,     173, dt,   0.01351, cte,  -0.37590, steer angle,   0.15880, steer setpt,   0.17741, steer cmd,  -0.01011, 
step,     174, dt,   0.01388, cte,  -0.37820, steer angle,   0.18010, steer setpt,   0.18886, steer cmd,  -0.01004, 
step,     175, dt,   0.01259, cte,  -0.38050, steer angle,   0.18360, steer setpt,   0.23196, steer cmd,  -0.00899, 
step,     176, dt,   0.01268, cte,  -0.38050, steer angle,   0.18360, steer setpt,   0.21868, steer cmd,  -0.00869, 
step,     177, dt,   0.01303, cte,  -0.38270, steer angle,   0.21170, steer setpt,   0.23013, steer cmd,  -0.00854, 
step,     178, dt,   0.01514, cte,  -0.38480, steer angle,   0.21910, steer setpt,   0.27079, steer cmd,  -0.00749, 
step,     179, dt,   0.01390, cte,  -0.38480, steer angle,   0.21910, steer setpt,   0.25864, steer cmd,  -0.00710, 
step,     180, dt,   0.01359, cte,  -0.38680, steer angle,   0.24920, steer setpt,   0.27004, steer cmd,  -0.00694, 
step,     181, dt,   0.01378, cte,  -0.38870, steer angle,   0.25880, steer setpt,   0.30821, steer cmd,  -0.00595, 
step,     182, dt,   0.01410, cte,  -0.38870, steer angle,   0.25880, steer setpt,   0.29714, steer cmd,  -0.00557, 
step,     183, dt,   0.01404, cte,  -0.39050, steer angle,   0.28750, steer setpt,   0.30844, steer cmd,  -0.00539, 
step,     184, dt,   0.01334, cte,  -0.39220, steer angle,   0.29720, steer setpt,   0.34406, steer cmd,  -0.00447, 
step,     185, dt,   0.01412, cte,  -0.39220, steer angle,   0.29720, steer setpt,   0.33525, steer cmd,  -0.00406, 
step,     186, dt,   0.01322, cte,  -0.39380, steer angle,   0.32470, steer setpt,   0.34643, steer cmd,  -0.00387, 
step,     187, dt,   0.01452, cte,  -0.39530, steer angle,   0.33480, steer setpt,   0.37949, steer cmd,  -0.00300, 
step,     188, dt,   0.01309, cte,  -0.39670, steer angle,   0.33950, steer setpt,   0.39000, steer cmd,  -0.00229, 
step,     189, dt,   0.01335, cte,  -0.39670, steer angle,   0.33950, steer setpt,   0.38453, steer cmd,  -0.00171, 
step,     190, dt,   0.01479, cte,  -0.39800, steer angle,   0.37920, steer setpt,   0.41503, steer cmd,  -0.00127, 
step,     191, dt,   0.01464, cte,  -0.39910, steer angle,   0.39360, steer setpt,   0.42411, steer cmd,  -0.00086, 
step,     192, dt,   0.01261, cte,  -0.39910, steer angle,   0.39360, steer setpt,   0.42083, steer cmd,  -0.00049, 
step,     193, dt,   0.01317, cte,  -0.40010, steer angle,   0.41490, steer setpt,   0.43041, steer cmd,  -0.00036, 
step,     194, dt,   0.01332, cte,  -0.40100, steer angle,   0.42410, steer setpt,   0.45572, steer cmd,   0.00025, 
step,     195, dt,   0.31343, cte,  -0.40100, steer angle,   0.42410, steer setpt,   0.45456, steer cmd,   0.00064, 
step,     196, dt,   0.01246, cte,  -0.39450, steer angle,   0.44260, steer setpt,   0.37605, steer cmd,  -0.00114, 
step,     197, dt,   0.31281, cte,  -0.39280, steer angle,   0.45230, steer setpt,   0.36652, steer cmd,  -0.00231, 
step,     198, dt,   0.01073, cte,  -0.34850, steer angle,   0.40790, steer setpt,  -0.17571, steer cmd,  -0.01483, 
step,     199, dt,   0.01250, cte,  -0.34240, steer angle,   0.37860, steer setpt,  -0.26869, steer cmd,  -0.02348, 
step,     200, dt,   0.31407, cte,  -0.34240, steer angle,   0.37860, steer setpt,  -0.27938, steer cmd,  -0.03277, 
step,     201, dt,   0.01200, cte,  -0.12260, steer angle,  -0.15060, steer setpt,  -2.89304, steer cmd,  -0.08962, 
step,     202, dt,   0.01296, cte,  -0.10730, steer angle,  -0.38300, steer setpt,  -3.15533, steer cmd,  -0.12466, 
step,     203, dt,   0.01403, cte,  -0.10730, steer angle,  -0.38300, steer setpt,  -2.71835, steer cmd,  -0.15399, 
step,     204, dt,   0.31523, cte,  -0.09270, steer angle,  -2.68010, steer setpt,  -2.90983, steer cmd,  -0.14011, 
step,     205, dt,   0.01044, cte,   0.00270, steer angle,  -3.41350, steer setpt,  -4.16658, steer cmd,  -0.15994, 
step,     206, dt,   0.01182, cte,   0.00270, steer angle,  -3.41350, steer setpt,  -1.61702, steer cmd,  -0.11135, 
step,     207, dt,   0.01108, cte,  -0.00060, steer angle,  -3.56210, steer setpt,  -1.43716, steer cmd,  -0.08396, 
step,     208, dt,   0.01451, cte,  -0.00060, steer angle,  -3.56210, steer setpt,  -1.47766, steer cmd,  -0.05543, 
step,     209, dt,   0.01378, cte,  -0.00460, steer angle,  -1.66270, steer setpt,  -1.29191, steer cmd,  -0.06481, 
step,     210, dt,   0.01244, cte,  -0.00910, steer angle,  -0.94950, steer setpt,  -0.10747, steer cmd,  -0.04504, 
step,     211, dt,   0.01423, cte,  -0.01420, steer angle,  -1.18400, steer setpt,  -0.04054, steer cmd,  -0.02724, 
step,     212, dt,   0.01306, cte,  -0.01420, steer angle,  -1.18400, steer setpt,  -0.07400, steer cmd,  -0.01243, 
step,     213, dt,   0.31358, cte,  -0.01960, steer angle,  -0.24470, steer setpt,  -0.00251, steer cmd,  -0.01638, 
step,     214, dt,   0.00994, cte,  -0.11880, steer angle,   0.12550, steer setpt,   1.16692, steer cmd,   0.00719, 
step,     215, dt,   0.01373, cte,  -0.12620, steer angle,   0.02680, steer setpt,   1.24816, steer cmd,   0.02432, 
step,     216, dt,   0.01139, cte,  -0.13360, steer angle,   0.61610, steer setpt,   1.32398, steer cmd,   0.02956, 
step,     217, dt,   0.31524, cte,  -0.13360, steer angle,   0.61610, steer setpt,   1.37342, steer cmd,   0.04187, 
step,     218, dt,   0.01218, cte,  -0.21250, steer angle,   1.17540, steer setpt,   2.32044, steer cmd,   0.06136, 
step,     219, dt,   0.01317, cte,  -0.21450, steer angle,   1.48310, steer setpt,   1.21470, steer cmd,   0.04454, 
step,     220, dt,   0.01267, cte,  -0.21450, steer angle,   1.48310, steer setpt,   1.16723, steer cmd,   0.04275, 
step,     221, dt,   0.01566, cte,  -0.21610, steer angle,   1.54970, steer setpt,   1.13696, steer cmd,   0.03616, 
step,     222, dt,   0.01468, cte,  -0.21710, steer angle,   1.50510, steer setpt,   1.18792, steer cmd,   0.03269, 
step,     223, dt,   0.01632, cte,  -0.21710, steer angle,   1.50510, steer setpt,   0.26492, steer cmd,   0.00693, 
